Date,Day_of_the_week,App,Minutes,Category
08/27/2023,Sunday,TIKTOK,327,Social Media
08/27/2023,Sunday,INSTAGRAM,230,Social Media
08/27/2023,Sunday,SPOTIFY,35,Entertainment
08/27/2023,Sunday,HBOMAX,27,Entertainment
08/27/2023,Sunday,X,12,Social Media
08/27/2023,Sunday,SNAPCHAT,8,Social Media
08/27/2023,Sunday,SAFARI,5,Other
08/28/2023,Monday,INSTAGRAM,81,Social Media
08/28/2023,Monday,YOUTUBE,44,Entertainment
08/28/2023,Monday,GMAIL,21,Other
08/28/2023,Monday,TIKTOK,20,Social Media
08/28/2023,Monday,MESSAGES,18,Other
08/28/2023,Monday,NETFLIX,17,Entertainment
08/28/2023,Monday,CLOCK,12,Other
08/28/2023,Monday,SPOTIFY,9,Entertainment
08/28/2023,Monday,MAPS,6,Travel
08/28/2023,Monday,SNAPCHAT,5,Social Media
08/28/2023,Monday,CAMERA,3,Other
08/28/2023,Monday,SAFARI,2,Other
08/29/2023,Tuesday,INSTAGRAM,154,Social Media
08/29/2023,Tuesday,TIKTOK,72,Social Media
08/29/2023,Tuesday,HBOMAX,28,Entertainment
08/29/2023,Tuesday,GMAIL,27,Other
08/29/2023,Tuesday,CAMERA,20,Other
08/29/2023,Tuesday,CALCULATOR,19,Education
08/29/2023,Tuesday,SPOTIFY,16,Entertainment
08/29/2023,Tuesday,MESSAGES,15,Other
08/29/2023,Tuesday,CANVAS_STUDENT,15,Education
08/29/2023,Tuesday,SAFARI,8,Other
08/29/2023,Tuesday,MAPS,5,Travel
08/30/2023,Wednesday,INSTAGRAM,142,Social Media
08/30/2023,Wednesday,TIKTOK,177,Social Media
08/30/2023,Wednesday,NETFLIX,117,Entertainment
08/30/2023,Wednesday,CALCULATOR,63,Education
08/30/2023,Wednesday,SAFARI,38,Other
08/30/2023,Wednesday,MAPS,25,Travel
08/30/2023,Wednesday,SPOTIFY,24,Entertainment
08/30/2023,Wednesday,YOUTUBE,19,Entertainment
08/30/2023,Wednesday,SNAPCHAT,9,Social Media
08/30/2023,Wednesday,MESSAGES,9,Other
08/31/2023,Thursday,INSTAGRAM,259,Social Media
08/31/2023,Thursday,NETFLIX,129,Entertainment
08/31/2023,Thursday,TIKTOK,78,Social Media
08/31/2023,Thursday,CANVAS_STUDENT,64,Education
08/31/2023,Thursday,SPOTIFY,51,Entertainment
08/31/2023,Thursday,GMAIL,22,Other
08/31/2023,Thursday,CALCULATOR,18,Education
08/31/2023,Thursday,X,17,Social Media
08/31/2023,Thursday,MAPS,11,Travel
08/31/2023,Thursday,MESSAGES,7,Other
08/31/2023,Thursday,CLOCK,3,Other
09/01/2023,Friday,INSTAGRAM,299,Social Media
09/01/2023,Friday,TIKTOK,114,Social Media
09/01/2023,Friday,NETFLIX,64,Entertainment
09/01/2023,Friday,SPOTIFY,42,Entertainment
09/01/2023,Friday,SAFARI,21,Other
09/01/2023,Friday,GMAIL,4,Other
09/01/2023,Friday,MAPS,3,Travel
09/02/2023,Saturday,NETFLIX,273,Social Media
09/02/2023,Saturday,INSTAGRAM,148,Social Media
09/02/2023,Saturday,SPOTIFY,81,Entertainment
09/02/2023,Saturday,TIKTOK,75,Social Media
09/02/2023,Saturday,SAFARI,61,Other
09/02/2023,Saturday,X,15,Social Media
09/02/2023,Saturday,SNAPCHAT,14,Social Media
